cell_type	young_groups	old_groups	n_young	n_old	young_mean	old_mean	mean_difference	log2fc_old_vs_young	young_pct_expressing	old_pct_expressing
Vascular endothelial cells	03_months	23_months	1497	789	0.018036073073744774	0.015209125354886055	-0.002826947718858719	-0.15333822572598607	1.2024048096192386	1.1406844106463878
Adipoce stem and progenitor cells	03_months	23_months	871	477	0.07347875833511353	0.056603774428367615	-0.01687498390674591	-0.32580520500149124	4.477611940298507	3.563941299790356
