sex	age_group	age_months	n_cells	mean_expression	pct_expressing
Female	03_months	3	6000	0.30916666984558105	15.416666666666668
Female	06_months	6	6000	0.27950000762939453	15.65
Female	12_months	12	6000	0.23483332991600037	11.616666666666667
Female	16_months	16	6000	0.11416666954755783	6.633333333333333
Female	23_months	23	6000	0.16383333504199982	7.1499999999999995
