cell_type	young_groups	old_groups	n_young	n_old	young_mean	old_mean	mean_difference	log2fc_old_vs_young	young_pct_expressing	old_pct_expressing
Vascular endothelial cells	03_months	23_months	1211	590	0.0660611093044281	0.0016949152341112494	-0.06436619407031685	-2.7012775750068965	3.3856317093311312	0.1694915254237288
Adipoce stem and progenitor cells	03_months	23_months	497	724	0.08048290014266968	0.0441988967359066	-0.03628400340676308	-0.7393816864791708	4.627766599597585	3.0386740331491713
