cell_type	young_groups	old_groups	n_young	n_old	young_mean	old_mean	mean_difference	log2fc_old_vs_young	young_pct_expressing	old_pct_expressing
Hepatocytes	03_months	23_months	316	825	0.0	0.019393939524888992	0.019393939524888992	1.555518729255861	0.0	1.6969696969696972
Myeloid cells	03_months	23_months	23	175	0.043478261679410934	0.0	-0.043478261679410934	-2.4189525711296165	4.3478260869565215	0.0
